pm25,pm10,o3,no2,so2
3.8,27.34,14.27,6.15,0.0
5.24,27.54,8.93,6.01,2.87
5.93,29.09,15.2,6.18,2.14
7.06,31.18,23.65,5.93,3.19
8.22,30.99,20.6,6.32,0.16
8.51,32.12,8.57,6.47,0.0
7.39,31.76,11.92,6.26,0.0
6.27,37.28,7.26,6.17,0.17
6.76,46.33,9.29,6.25,0.74
6.68,49.78,23.72,6.06,2.82
7.15,53.36,11.35,6.51,0.18
6.89,55.37,3.9,6.59,0.0
7.07,52.5,7.73,6.6,0.0
7.87,49.56,7.95,6.2,0.0
7.15,41.97,10.05,6.32,0.0
6.37,37.57,23.94,6.15,0.47
6.85,33.93,17.87,6.46,0.0
6.68,33.04,7.84,6.57,0.0
6.38,33.89,10.51,6.45,0.0
8.47,33.06,7.63,6.31,0.0
8.88,38.34,17.52,6.3,0.0
6.88,37.44,29.67,6.33,0.0
5.52,33.72,15.77,6.76,0.0
4.88,30.94,21.34,6.69,0.0
5.29,24.58,18.85,6.75,0.0
6.39,18.63,6.34,6.56,3.96
6.98,17.49,4.22,6.68,4.28
5.95,19.29,12.16,6.5,5.69
5.54,17.16,15.11,6.65,0.23
5.05,13.59,20.77,6.81,0.0
4.18,11.8,17.89,6.81,0.0
4.69,9.61,7.08,6.71,0.63
5.29,7.69,5.52,6.74,1.73
5.4,8.25,8.96,6.75,3.14
5.27,9.08,16.6,7.14,0.01
6.08,8.76,17.05,7.11,0.0
6.65,8.47,5.37,6.92,0.0
7.19,9.64,15.43,6.8,0.08
7.71,10.15,22.01,6.92,0.08
8.38,13.39,21.67,6.88,0.52
8.79,14.74,16.91,6.86,0.0
8.61,10.6,16.29,7.2,0.0
7.41,8.34,4.34,6.94,0.0
6.75,8.5,8.96,6.85,0.02
6.35,8.19,4.1,6.73,0.0
5.3,6.47,6.05,6.83,0.0
5.81,4.97,18.55,7.14,0.0
6.67,3.57,11.39,7.13,0.0
7.13,2.74,7.96,7.06,0.0
7.09,3.12,9.14,6.88,2.54
5.92,7.14,4.7,6.76,0.48
4.39,8.98,6.48,6.87,0.09
4.84,6.54,22.56,6.99,0.0
6.03,4.87,11.83,7.14,0.0
7.15,7.54,8.53,7.0,0.0
6.68,9.05,7.47,6.65,0.76
5.5,11.34,5.24,6.88,0.04
4.52,13.49,4.92,6.91,0.02
4.3,10.21,21.34,7.22,0.0
5.04,7.22,8.44,7.15,0.0
6.01,5.42,8.13,7.11,0.0
7.32,6.07,13.54,6.73,1.3
7.16,8.83,10.1,6.82,1.91
6.45,8.86,27.06,6.63,2.64
6.43,6.84,17.81,6.93,0.24
5.67,5.97,14.79,7.03,0.0
5.16,6.59,7.12,6.94,0.0
4.69,14.21,7.64,6.66,1.36
5.5,19.39,5.78,6.79,1.46
6.16,20.42,7.62,6.64,1.6
6.37,19.25,14.97,6.99,0.1
5.67,17.89,10.97,6.95,0.0
5.39,19.0,7.91,7.0,0.0
5.74,21.91,7.32,6.67,4.8
5.31,23.35,4.82,6.86,3.43
4.8,31.63,4.9,6.6,2.72
4.17,41.72,17.31,6.96,0.3
3.7,36.14,12.27,7.07,0.0
4.46,27.46,8.0,7.08,0.0
5.36,21.49,9.25,6.75,2.47
5.62,19.29,11.51,6.84,3.5
6.53,19.57,12.84,7.05,3.3
7.8,17.57,16.28,7.17,0.52
8.43,15.06,8.85,7.07,0.0
8.94,16.2,7.13,7.04,0.01
8.98,21.29,8.16,6.76,4.07
7.51,23.71,10.67,6.71,6.5
7.02,23.86,19.03,6.4,9.87
7.03,22.63,14.86,6.85,4.28
6.95,20.35,16.28,6.83,0.0
6.23,21.62,14.32,6.97,0.05
5.69,27.51,12.97,6.71,3.95
6.12,29.71,5.26,6.68,5.34
6.99,31.08,6.02,6.7,6.24
6.68,28.95,16.63,7.05,1.46
5.44,21.2,16.73,7.15,0.0
4.55,18.64,8.65,7.1,0.0
4.02,16.96,6.04,6.94,5.73
3.4,12.98,1.2,6.89,4.48
3.43,9.67,4.4,6.85,3.55
4.57,7.51,19.3,7.21,0.72
5.16,6.02,12.8,7.12,0.0
6.18,6.39,10.52,7.23,0.0
7.0,7.24,8.3,6.88,3.76
6.71,11.4,1.88,6.98,3.64
7.05,14.62,4.92,7.05,2.4
4.84,13.17,10.84,8.83,0.0
9.23,15.78,8.07,7.34,1.06
11.98,15.58,8.71,7.23,7.32
9.47,15.13,23.9,6.9,15.91
7.22,13.31,14.59,6.93,17.71
